date;open;high;low;close;volume;MA2.MA1;MA2.MA2;MA2.MA3;MA2.MA4;MA2.MA5;MA2.MA6;MA2.MA7;MA2.MA8;MA2.MA9;MA2.MA10;VOL.VOLUME;VOL.MAVOL1;VOL.MAVOL2;KDJ.K;KDJ.D;KDJ.J;BOLL.BOLL;BOLL.UB;BOLL.LB;MACD.DIF;MACD.DEA;MACD.MACD;
1992/06/26;1173.68;1207.82;1144.46;1164.67;1130;1169.76;906.10;639.48;346.59;;;821.46;562.78;;;113000.00;200400.00;213200.00;77.68;83.05;66.94;639.48;1400.05;-121.09;237.77;168.02;139.50;
1992/07/03;1168.89;1215.13;1156.68;1189.16;2925;1160.65;983.58;682.96;364.60;;;888.72;597.12;;;292500.00;194620.00;222330.00;77.04;81.04;69.02;682.96;1465.63;-99.72;242.88;182.99;119.77;
1992/07/10;1197.76;1215.24;1166.45;1188.62;3118;1177.22;1057.90;724.41;382.63;;;953.23;631.22;;;311800.00;216700.00;235710.00;76.35;79.48;70.09;724.41;1522.63;-73.82;244.07;195.21;97.72;
1992/07/17;1156.83;1214.83;1100.16;1125.56;2537;1167.99;1123.65;762.45;399.56;;;1012.50;662.69;;;253700.00;226540.00;238060.00;72.80;77.25;63.89;762.45;1561.02;-36.11;237.19;203.60;67.16;
1992/07/24;1100.60;1178.90;961.61;1142.02;2489;1162.01;1183.41;800.97;416.68;;;1070.55;694.73;;;248900.00;243980.00;243540.00;66.07;73.53;51.16;800.97;1594.47;7.46;230.41;208.96;42.88;
1992/07/31;1169.42;1178.81;1032.54;1052.07;3929;1139.49;1154.62;834.75;432.20;;;1119.21;723.15;;;392900.00;299960.00;250180.00;54.52;67.19;29.18;834.75;1609.46;60.04;215.29;210.23;10.12;
1992/08/07;1034.70;1060.36;983.22;1005.23;3243;1102.70;1131.67;866.11;446.88;;;1157.62;749.70;;;324300.00;306320.00;250470.00;42.08;58.82;8.60;866.11;1613.26;118.96;197.26;207.64;-20.75;
1992/08/14;992.73;1006.64;627.36;858.38;5533;1036.65;1106.94;889.99;459.01;;;1117.49;770.42;;;553300.00;354620.00;285660.00;41.15;52.93;17.59;889.99;1601.50;178.48;169.17;199.94;-61.54;
1992/08/21;898.66;999.69;858.38;916.25;6686;994.79;1081.39;916.74;471.99;;;1090.95;791.83;;;668600.00;437600.00;332070.00;43.81;49.89;31.66;916.74;1586.75;246.73;149.85;189.92;-80.15;
1992/08/28;888.95;920.85;825.01;848.20;4390;936.03;1049.02;940.05;483.86;;;1069.48;810.43;;;439000.00;475620.00;359800.00;41.73;47.17;30.85;940.05;1562.48;317.62;127.58;177.46;-99.75;
1992/09/04;833.50;848.40;742.74;753.58;4891;876.33;1007.91;957.00;494.20;;;1034.64;825.12;;;489100.00;494860.00;397410.00;34.98;43.11;18.72;957.00;1536.11;377.90;101.13;162.19;-122.12;
1992/09/11;745.69;789.18;595.42;776.29;5299;830.54;966.62;975.10;504.86;;;1001.67;840.50;;;529900.00;535980.00;421150.00;33.05;39.76;19.65;975.10;1503.19;447.01;81.06;145.96;-129.80;
1992/09/18;762.82;793.36;694.32;754.40;5562;809.74;923.20;990.55;515.09;;;967.48;854.97;;;556200.00;536560.00;445590.00;31.12;36.88;19.60;990.55;1469.15;511.95;62.67;129.31;-133.27;
1992/09/25;740.97;760.13;708.50;729.79;3709;772.45;883.62;1003.63;524.81;;;929.20;868.40;;;370900.00;477020.00;457310.00;28.42;34.06;17.15;1003.63;1433.97;573.30;45.59;112.56;-133.95;
1992/09/30;724.45;729.79;698.91;702.32;1970;743.28;839.65;1011.53;533.95;;;888.67;880.74;;;197000.00;428620.00;452120.00;26.61;31.58;16.68;1011.53;1411.07;612.00;29.49;95.95;-132.92;
