date;open;high;low;close;volume;MA2.MA1;MA2.MA2;MA2.MA3;MA2.MA4;MA2.MA5;MA2.MA6;MA2.MA7;MA2.MA8;MA2.MA9;MA2.MA10;VOL.VOLUME;VOL.MAVOL1;VOL.MAVOL2;KDJ.K;KDJ.D;KDJ.J;BOLL.BOLL;BOLL.UB;BOLL.LB;MACD.DIF;MACD.DEA;MACD.MACD
1994/07/29;469.27;469.43;325.89;333.92;154277;531.30;683.13;852.21;;;;;;;;15427700.00;34283096.00;28098478.00;4.30;8.39;-3.89;852.21;1372.29;332.14;-39.25;45.72;-169.94
1994/08/31;394.87;787.22;377.97;785.33;2073209;547.47;680.18;852.46;;;;;;;;207320896.00;65039356.00;47316108.00;24.17;13.65;45.20;852.46;1372.39;332.53;-26.40;31.29;-115.38
1994/09/30;785.61;1052.94;785.56;791.15;1487521;587.19;660.80;832.09;;;;;;;;148752096.00;86927144.00;59498672.00;37.44;21.58;69.17;832.09;1326.23;337.96;-15.56;21.92;-74.97
1994/10/31;770.90;794.85;546.79;654.98;655763;606.93;642.92;797.85;;;;;;;;65576300.00;91653632.00;63237756.00;40.05;27.74;64.67;797.85;1235.52;360.18;-17.76;13.99;-63.49
1994/11/30;667.66;743.22;648.68;683.59;323854;649.79;634.25;785.73;;;;;;;;32385400.00;93892472.00;64051856.00;43.10;32.86;63.58;785.73;1221.89;349.58;-17.00;7.79;-49.57
1994/12/30;684.02;695.22;620.47;647.87;216329;712.58;621.94;750.19;;;;;;;;21632900.00;95133520.00;64708308.00;43.49;36.40;57.68;750.19;1096.28;404.10;-19.05;2.42;-42.95
1995/01/27;637.72;657.45;547.38;562.59;77291;668.04;607.75;731.54;;;;;;;;7729100.00;55215168.00;60127264.00;39.85;37.55;44.44;731.54;1075.77;387.31;-27.25;-3.51;-47.48
1995/02/28;559.78;608.58;524.43;549.26;103857;619.66;603.42;708.65;;;;;;;;10385700.00;27541876.00;57234508.00;36.81;37.30;35.81;708.65;1036.23;381.08;-34.43;-9.70;-49.46
1995/03/31;548.91;648.04;545.72;646.92;293717;618.05;612.49;696.95;;;;;;;;29371700.00;20300966.00;55977300.00;39.26;37.95;41.86;696.95;1015.18;378.71;-31.87;-14.13;-35.47
1995/04/28;651.04;681.15;547.21;579.93;303829;597.31;623.55;681.16;;;;;;;;30382900.00;19900468.00;56896472.00;36.14;37.35;33.73;681.16;989.04;373.28;-34.84;-18.27;-33.14
1995/05/31;576.69;926.41;564.86;700.51;613262;607.84;660.21;671.67;;;;;;;;61326200.00;27839130.00;61486324.00;35.20;36.63;32.34;671.67;963.70;379.64;-27.15;-20.05;-14.21
1995/06/30;703.72;722.30;625.70;630.58;266575;621.44;644.74;662.46;;;;;;;;26657500.00;31624794.00;43419980.00;32.27;35.18;26.45;662.46;947.01;377.91;-26.40;-21.32;-10.17
1995/07/31;623.14;723.68;610.33;695.55;669986;650.70;635.18;647.99;;;;;;;;66998600.00;42947380.00;35244628.00;35.70;35.35;36.40;647.99;889.70;406.28;-20.33;-21.12;1.58
1995/08/31;697.22;788.16;688.65;723.87;1000431;666.09;642.07;642.49;;;;;;;;100043104.00;57081664.00;38691316.00;40.34;37.02;46.99;642.49;871.06;413.93;-13.08;-19.51;12.87
1995/09/29;726.05;792.54;699.10;722.43;599253;694.59;645.95;640.10;;;;;;;;59925300.00;62990132.00;41445300.00;43.31;39.11;51.71;640.10;863.99;416.21;-7.37;-17.08;19.43
1995/10/31;724.04;765.48;693.86;717.32;712074;697.95;652.90;637.42;;;;;;;;71207400.00;64966376.00;46402752.00;44.87;41.03;52.54;637.42;855.93;418.91;-3.21;-14.31;22.19
1995/11/30;716.46;736.91;632.03;641.14;330164;700.06;660.75;634.25;627.81;;;;;;;33016400.00;66238168.00;48931480.00;38.27;40.11;34.58;634.25;850.49;418.01;-6.00;-12.65;13.29
1995/12/29;631.55;643.36;552.84;555.29;176710;672.01;661.35;632.39;634.93;;;;;;;17671000.00;56372632.00;49660008.00;26.22;35.48;7.70;632.39;850.77;414.00;-14.96;-13.11;-3.71
1996/01/31;550.26;561.36;512.83;537.35;252877;634.71;650.40;631.44;641.72;;;;;;;25287700.00;41421568.00;49251616.00;19.46;30.14;-1.91;631.44;851.37;411.51;-23.25;-15.14;-16.22
1996/02/16;536.24;553.83;518.18;552.94;93695;600.81;647.70;635.63;648.72;;;;;;;9369500.00;31310412.00;47150272.00;17.75;26.01;1.23;635.63;845.53;425.73;-28.23;-17.76;-20.94
1996/03/29;583.38;606.51;549.71;556.39;269754;568.62;633.29;646.75;655.99;;;;;;;26975400.00;22464000.00;43715188.00;17.03;23.02;5.05;646.75;807.05;486.45;-31.53;-20.51;-22.04
1996/04/30;566.21;739.10;556.23;681.15;748375;576.62;638.34;641.54;665.45;;;;;;;74837504.00;30828212.00;48533192.00;31.41;25.81;42.60;641.54;789.14;493.94;-23.81;-21.17;-5.28
